RECID,AGENT,NUMBER,NAME,ADDRESS1,ADDRESS2,ADDRESS3,TIN,BUSINESS,TERMS,LANDLINE1,LANDLINE2,MOBILE1,MOBILE2,VATABLE,ACTIVE,CREATEDDAT,CREATEDBY,UPDATEDDAT,UPDATEDBY
100,0027,0001,DAVAO SOLAR BEST CORPORATION,"SOUTHBAY ROAD, R. CASTILLO ST.","BRGY. LAPU-LAPU, DAVAO CITY",,---,,0,,,,,False,True,2024-11-20 16:04:31.999000,2265,,
101,0027,0002,THAI AN PHUC SHIPPING COMPANY LIMITED,"NO. 85, QUACH HUU NGHIEM ST., RESIDENT GROUP NO.1,","DIEM DIEN TOWN, THAI THUY DIST., THAI BINH PROVINCE,",VIETNAM,---,,0,,,,,False,True,2024-11-20 16:05:28,2265,,
102,0006,0001,ASAHI MOL TANKERS LTD,TORANOMON 2-CHOME,"MINATO-KU TOKYO,",JAPAN 105-8688,---,,0,,,,,False,True,2024-11-27 16:02:11.999000,2265,,
103,0027,0003,DONG DO MARINE JSC,106 HOANG QUOC VIET STR.,HANOI VIETNAM,,---,,0,,,,,False,True,2024-11-27 16:04:11.999000,2265,,
104,0027,0004,"HAI PHUONG SHIPPING CO., LTD.","NO  54 LOT 18D LE HONG PHONG ST., DANG LAM WARD","HAI AN DIST., HAI PHONG CITY, VIETNAM",,---,,0,,,,,False,True,2024-12-03 12:03:10,2265,,
105,0051,0001,"PAN OCEAN CO., LTD.",C/O BEN-LINE,,,---,,0,,,,,False,True,2024-12-04 17:04:24.999000,2265,,
106,0051,0002,"PAN OCEAN CO., LTD.",C/O BENLINE,,,---,,30,,,,,False,True,2024-12-04 17:41:25,2265,,
107,0006,0002,HAFNIA POOLS PTE LTD,"MAPLETREE BUSINESS CITY, #18-01, 10 PASIR PANJANG ROAD,","SINGAPORE 117438,",,   ---,,15,,,,,False,True,2024-12-09 11:24:00,2265,,
108,0027,0005,KHOI NGUYEN SHIPPING COMPANY LIMITED,VIETNAM,,,---,,0,,,,,False,True,2024-12-13 14:37:39.999000,2265,,
109,0027,0006,"HAI PHUONG SHIPPING CO., LTD.","NO  54 LOT 18D LE HONG PHONG ST., DANG LAM","WARD, HAI AN DIST., HAI PHONG CITY, VIETNAM",,---,,0,,,,,False,True,2024-12-17 15:35:44.999000,2265,,
110,0027,0007,"HOANG CHIEN CO., LTD","260/2B NGUYEN THAI BINH STR, WARD 12, TAN","BINH DIST, HCM, VN",,---,,0,,,,,False,True,2024-12-18 13:53:53.999000,2265,,
111,0027,0008,"RANG DONG SHIPPING CO., LTD.",VIETNAM,,,---,,0,,,,,False,True,2024-12-23 14:55:38,2265,,
112,0027,0009,"RANG DONG SHIPPING CO., LTD.",VIETNAM,,,---,,0,,,,,False,True,2024-12-28 10:46:14.999000,2265,,
113,0051,0003,HAFNIA POOLS PTE LTD,C/O GAC PHILS.,,,---,,30,,,,,False,True,2024-12-28 15:17:05.999000,2265,,
114,0027,0010,DONG DO MARINE JSC.,"106 HOANG QUOC VIET ST, HANOI, VIETNAM",,,---,,0,,,,,False,True,2025-01-02 14:23:09,2265,,
115,0051,0004,SHENGHANG GLOBAL MARINE (HONGKONG) LIMITED,C/O BENLINE AGENCIES PHILIPPINES,,,----   -   -,,30,,,,,False,True,2025-01-04 11:00:01,2265,,
116,0051,0005,CSSA - TOTSA – TOTAL,C/O HUMANN - TACONET LE HAVRE,,,---,,30,,,,,False,True,2025-01-13 10:39:39.999000,2265,,
117,0027,0011,"HOANG TIEN DUNG TRADING AND TRANSPORT CO.,LTD.","114 BUI THI TU NHIEN ST., DONG HAI 2 WARD","HAI AN DIST., HAI PHONG CITY, VIETNAM",,---,,0,,,,,False,True,2025-01-14 16:39:14,2265,,
118,0006,0003,SCORPIO MR POOL LTD,"C/O SCORPIO COMMERCIAL,MANAGEMENT SAML EXOTIQUE,99",BD. DU JARDIN EXOTIQUE MC,"98000MC - PRINCIPAUTE DE,MONACO",---,,15,,,,,False,True,2025-01-22 09:40:13.999000,2265,,
119,0048,0001,"TABUCHI MARINE CO., LTD.",C/O PHILIPPINE TRANSWORLD SHIPPING CORP.,,,---,,30,,,,,False,True,2025-01-24 17:07:41,2265,,
120,0051,0006,NANJING PETROLEUM TRANSPORTATION(S) PTE LTD,C/O BENLINE AGENCIES PHILS. INC.,,,---,,30,,,,,False,True,2025-01-27 12:00:13,2265,,
121,0004,0001,LYNUX SHIPPING LTD.,C/O CLIO SHIPPING AND LOGISTICS PHILS.INC,,,---,,7,,,,,False,True,2025-01-30 11:14:22.999000,2265,,
122,0027,0012,"TTC SHIP MANAGEMENT CO., LTD.","ROOM 101 TTC BUILDING, 630 LE THANH TONG,","HAI PHONG, VIETNAM",,---,,0,,,,,False,True,2025-01-30 14:58:36,2265,,
123,0051,0007,NORDEN A/S,C/O BENLINE AGENCIES PHILS. INC.,,,---,,30,,,,,False,True,2025-02-03 09:07:27.999000,2265,,
124,0027,0013,"RANG DONG SHIPPING CO., LTD.",VIETNAM,,,---,,0,,,,,False,True,2025-02-08 16:27:11.999000,2265,,
125,0062,0001,OCEANIC PATH SHIPPING SDN. BHD.,"LEVEL 23,NU TOWER 2, JALAN TUN SAMBANTHAN,KUALA LUMPUR SENTR",C/O BAISHIPPING,,---,,30,,,,,False,True,2025-02-11 14:58:20,2265,,
126,0063,0001,"ITOCHU PETROLEUM CO. (SINGAPORE), PTE LTD",C/O SOUTHWEST SHIPING,,,---,,7,,,,,False,True,2025-02-12 12:04:56,2265,,
127,0051,0008,MASTER FOREVER GLORY,C/O BEN LINE AGENCIES PHILS. INC.,,,---,,30,,,,,False,True,2025-02-13 09:32:00,2265,,
128,0051,0009,BW BATANGAS INC.,33F THE PODIUM WEST TOWER 12 ADB AVE.,"ORTIGAS CENTER, WACK-WACK GREENHILLS,","MANDALUYONG CITY C/O BEN-LINE AGENCIES PHILS.,INC.",603-426-796-000,BW BATANGAS INC.,30,,,,,True,True,2025-02-15 13:58:39,2265,,
129,0027,0014,"GIANG PHONG SHIPPING CO., LTD",VIETNAM,,,---,,0,,,,,False,True,2025-02-20 09:56:36,9028,,
130,0051,0010,HAFNIA POOLS PTE LTD.,C/O BEN LINE AGENCIES PHILS,,,---,,30,,,,,False,True,2025-02-25 11:19:10,2265,,
131,0027,0015,DUC DAT OCEAN FREIGHT TRADING LIMITED COMPANY,"12C LY TU TRONG, MINH KHAI,","HONG BANG, HAI PHONG CITY, VIETNAM",,---,,0,,,,,False,True,2025-03-03 16:37:40.999000,2265,,
132,0027,0016,TAN AN MARITIME SERVICE COMPANY LIMITED,VIETNAM,,,---,,0,,,,,False,True,2025-03-11 09:55:24.999000,2265,,
133,0006,0004,"CANPOTEX SHIPPING SERVICES LTD,SINGAPORE BRANCH","38 BEACH ROAD,#17-13 SOUTH BEACH TOWER",SINGAPORE,,---,,30,,,,,False,True,2025-03-11 10:42:13,2265,,
134,0052,0001,"DAMPSKIBSSELSKABET ""NORDEN A/S""","STRANDVEJEN 52, DK-2900 HELLERUP, DENMARK",,,---,,30,,,,,False,True,2025-03-17 11:59:06,2265,,
135,0051,0011,ASP SHIPPING VIETNAM(ASIA PACIFIC SHIPPING COMPANY LIMITED),C/O BEN LINE AGENCIES PHILS INC,,,   ---,,30,,,,,False,True,2025-03-25 14:06:11,2265,,
136,0051,0012,ST SHIPPING AND TRANSPORT PTE LTD,C/O BEN LINE AGENCIES PHILIPPINES INC,,,---,,30,,,,,False,True,2025-04-04 09:42:09,2265,,
137,0027,0017,NGUYEN BAO ANH THAI BINH INTERNATIONAL TRANSPORT COMPANY LIM,"NO 556, 3/2 STREET, TDP BAO TRINH, DIEM DIEN TOWN","THAI THUY DISTRICT, THAI BINH PROVINCE, VIETNAM",,---,,0,,,,,False,True,2025-04-14 12:27:06.999000,2265,,
138,0051,0013,AURORA TANKERS MANAGEMENT PTE LTD.,C/O BEN LINE AGENCIES PHILS. INC.,,,---,,30,,,,,False,True,2025-04-21 10:57:31,2265,,
139,0051,0014,PACIFIC BASIN,C/O BENLINE,,,---,,30,,,,,False,True,2025-04-22 09:29:03,2265,,
140,0027,0018,VINASHIP JOINT STOCK COMPANY,"01 HOANG VAN THU STREET, HONG BANG DIST,","HAI PHONG CITY, VIETNAM",,---,,0,,,,,False,True,2025-04-24 15:43:40.999000,2265,,
141,0027,0019,HUY HOANG LIMITED LIABILITY COMPANY,VIETNAM,,,---,,0,,,,,False,True,2025-05-08 09:59:59.999000,2265,,
142,0027,0020,KUDOS TRUCKING CORPORATION,J&T BUILDING DOOR 21 3RD FLOOR,KM.13 PANACAN DAVAO CITY,,---,,0,,,,,False,True,2025-05-08 10:02:55.999000,2265,,
143,0051,0015,JADE UNION SHIPPING LTD,C/O BENLINE AGENCIES PHILS. INC.,,,---,,30,,,,,False,True,2025-05-09 12:07:26.999000,2265,,
144,0027,0021,MD INTERNATIONAL SHIPPING JOINT STOCK COMPANY,"NO. 40, DONG MIEU STREET, BAO TRINH POPULATION","GROUP, DIEM DIEN TOWN, THAI THUY DISTRICT,","THAI BINH PROVINCE, VIETNAM",---,,0,,,,,False,True,2025-05-26 09:40:53,2265,,
145,0051,0016,GAC HUB SERVICES DWC-LLC,"P.O. BOX 712938 WH: CL-1-WA 65 LOGISTICS DISTRICT,",DUBAI WORLD CENTRAL,,---,,30,,,,,False,True,2025-05-31 09:33:35,2265,,
146,0027,0022,"VIET THUAN TRANSPORT CO., LTD.","NO. 412, QUANG TRUNG STREET, QUANG TRUNG WARD,","UONG BI CITY, QUANG NINH PROVINCE, VIETNAM",,---,,0,,,,,False,True,2025-06-09 15:29:33.999000,2265,,
147,0027,0023,THUAN THANH SHIPPING COMPANY LIMITED,"LIEN PHU RESIDENTIAL GROUP, CAT THANH TOWN,","TRUC NINH DISTRICT, NAM DINH PROVINCE, VIET NAM",,---,,0,,,,,False,True,2025-06-11 09:47:35.999000,2265,,
148,0051,0017,GLENCORE SINGAPORE PTE LTD.,C/O BENLINE AGENCIES PHILIPPINES,,,---,,30,,,,,False,True,2025-06-20 09:12:21.999000,2265,,
149,0027,0024,"MINH PHU CO., LTD","9TH FLOOR MOBIFONE BUILDING, NO.87 PHAM VAN DONG ST.,","ANH DUNG WARD, DUONG KINH DIST., HAI PHONG CITY, VIETNAM",,---,,0,,,,,False,True,2025-06-24 12:18:34.999000,2265,,
150,0027,0025,"TUANLONG SHIPPING CO., LTD","337 DA NANG STR, NGO QUYEN DIST. HAI PHONG CITY,",VIETNAM,,---,,0,,,,,False,True,2025-07-02 16:12:19,2265,,
151,0051,0018,KAIROS OIL TRADING LTD.,C/O BEN LINE AGENCIES PHILS,,,---,,30,,,,,False,True,2025-07-05 14:47:15.999000,2265,,
152,0051,0019,"GAC PHILIPPINES, INC.",C/O BENLINE AGENCIES PHILIPPINES,,,---,,30,,,,,False,True,2025-07-14 14:34:53,2265,,
153,0051,0020,"RONGTUA SHIPPING GROUP CO., LTD",C/O BENLINE AGENCIES PHILIPPINES,,,---,,30,,,,,False,True,2025-07-19 11:01:34.999000,2265,,
154,0051,0021,SHANGHAI XIANGYU SUPERCHAIN SUPPLY CHAIN CO LTD,C/O BENLINE AGENCIES PHILIPPINES,,,---,,30,,,,,False,True,2025-07-26 13:42:14,2265,,
155,0027,0026,"HONG SON TRADING SERVICE CO., LTD.","LOT A, NGUYEN DUC CANH INDUSTRY PARK,","TIEN PHONG WARD, THAI BINH CITY, THAI BINH PROVINCE, VIET NA",,---,,0,,,,,False,True,2025-08-27 15:01:23.999000,2265,,
156,0027,0027,HOANG HA SHIPPING - TRADING COMPANY LIMITED,"47/5A PHAM PHU THU, HONG BANG WARD,","HAI PHONG CITY, VIETNAM",,---,,0,,,,,False,True,2025-08-29 12:08:47.999000,2265,,
157,0051,0022,GLOBAL TRANSIT TRADING (S) PTE LTD,C/O BENLINE PHILIPPINES,,,---,,30,,,,,False,True,2025-09-04 11:01:31,2265,,
158,0051,0023,MAERSK TANKERS A/S,C/O BENLINE PHILIPPINES,,,---,,30,,,,,False,True,2025-09-08 10:59:03.999000,2265,,
159,0027,0028,VIET HAI COMPANY LIMITED,"MG 02-08 VINCOM SHOPHOUSE, 01 LE THANH TONG ST.,","NGO QUYEN WARD., HAI PHONG, VIET NAM.",,---,,0,,,,,False,True,2025-09-22 15:11:08.999000,2265,,
160,0027,0029,ANH DUONG PRODUCTION TRADING GROUP JS. COMPANY,"LY NHAN HAMIET, XUAN LANG COMMUNE,","PHU THO PROVINCE, VIETNAM",,---,,0,,,,,False,True,2025-10-01 12:12:41,2265,,
161,0051,0024,DIANA SHIPPING AGENCIES S.A,C/O BEN LINE AGENCIES PHILIPPINES INC.,,,---,,30,,,,,False,True,2025-11-11 16:11:44.999000,2265,,
162,0051,0025,CHINA  MARINE SHIPPING AGENCY - GUANGDONG COMPANY LTD.,"17TH FLOOR, SINOTRANS BUILDING, 97 HAIYUAR ROAD,","HUANGPU DISTRICT, GUANGZHOU,GUANGDONG PROVINCE CHINA",C/O BEN LINE AGENCIES PHILIPPINES INC.,----   -   -,,30,,,,,False,True,2025-11-19 13:30:12,2265,,
163,0027,0030,SM SHIP MARINE SERVICES AGENCY INC.,DOOR A24 ECA BUILDING NATIONAL HIGHWAY CITY HEIGHTS 9500,GENERAL SANTOS CITY (DADIANGAS) SOUTH COTABATO PHILIPPINES,,---,,0,,,,,False,True,2025-12-09 14:47:31.999000,2265,,
164,0051,0026,SINOTRANS SOUTH CHINA CO LTD.,C/O BENLINE AGENCIES PHILS. INC.,,,---,,30,,,,,False,True,2025-12-11 10:34:19.999000,2265,,
165,0006,0005,UNIVERSITY OF WASHINGTON SCHOOL OF OCEANOGRAPHY,"1501 NE BOAT STREET, SEATTLE, WASHINGTON,",UNITED STATES,,---,,30,,,,,False,True,2025-12-29 10:16:55.999000,2265,,
166,0051,0027,"INFRASTRUKTUR TELEKOMUNIKASI INDONESIA, PT. (TELKOM INFRA)","C/O BEN LINE AGENCIES PHILIPPINES, INC.",,,---,,30,,,,,False,True,2026-01-02 16:35:56,2265,,
167,0051,0028,MING WAH AGENCY PTE LTD,C/O BEN LINE AGENCIES PHILS INC,,,---,,30,,,,,False,True,2026-01-12 11:46:53,2265,,
168,0051,0029,PHILCEMENT CORPORATION,"GARCIA ROAD, MARIVELES DIVERSION ROAD","SISIMAN, MARIVELES BATAAN",,009-828-206-00000,,30,,,,,True,True,2026-01-15 10:38:16,2265,,
169,0051,0030,STENA BULK A/S,C/O BEN LINE AGENCIES PHILS INC,,,---,,30,,,,,False,True,2026-01-26 09:12:01.999000,2265,,
170,0034,0001,MAERSK TANKERS A/S,C/O WALLEM PHILIPPINES SHIPPING INC.,,,---,,7,,,,,False,True,2026-01-28 11:02:23.999000,2265,,
171,0051,0031,NANJING SHENGHANG SHIPPING CO. LTD,C/O BEN LINE AGENCIES PHILS INC,,,---,,30,,,,,False,True,2026-02-02 09:52:45,2265,,
172,0051,0032,HUB AGENT HUMANN/TACONNET,C/O BEN LINE AGENCIES PHILS INC,,,---,,30,,,,,False,True,2026-02-11 11:50:37.999000,2265,,
173,0051,0033,SHELL INTERNATIONAL EASTERN TRADING COMPANY,C/O BENLINE AGENCIES PHILIPPINES,,,---,,30,,,,,False,True,2026-02-24 15:41:39,2265,,
174,0027,0031,HOANG TRIEU JOINT STOCK COMPANY,"VILLA 112, LOT 01/97 BACH DANG ST., HA LY WARD,","HONG BANG DIST., HAI PHONG CITY, VIETNAM",,---,,0,,,,,False,True,2026-02-26 10:02:24,2265,,
175,0034,0002,EASTERN CAR LINER LTD.,C/O WALLEM PHILIPPINES SHIPPING INC.,,,   ---,,7,,,,,False,True,2026-02-26 11:25:14,2265,,
176,0034,0003,"ASUNARO INTERNATIONAL CO., LTD.",C/O WALLEM PHILIPPINES SHIPPING INC.,,,---,,7,,,,,False,True,2026-02-26 11:26:20,2265,,
177,0051,0034,VINASHIP JOINT STOCK COMPANY,C/O BEN LINE AGENCIES PHILS INC,,,---,,30,,,,,False,True,2026-03-04 15:04:12,2265,,
178,0027,0032,"GIA LONG TRADING & SHIPPING CO., LTD","22 LE LAI, BEN THANH WARD, DIST. 1,","HO CHI MINH CITY, VIETNAM",,---,,0,,,,,False,True,2026-03-09 09:50:17,2265,,
179,0027,0033,VTB HAI AU COMPANY LIMITED,"NO 26/180 TRUNG LUC, DANG LAM WARD,","HAI AN DISTRICT, HAI PHONG CITY, VIETNAM",,---,,0,,,,,False,True,2026-03-09 09:51:03,2265,,
180,0051,0035,MARAN GAS MARITIME INC.,8 ACHILLEOS & LABROU KATSONI ST KALLITHEA,ATHENS 176 74 GREECE,,---,,30,,,,,False,True,2026-04-14 09:18:40,2265,,
181,0051,0036,"YOSEIMARU MARINE CO.,LIMITED",UNIT NO. 532B 5/F STAR HOUSE,NO.3 SALISBURY ROAD TSIM SHA TSUI KL,C/O BEN LINE AGENCIES PHILS. INC.,---,,30,,,,,False,True,2026-04-14 15:26:34.999000,2265,,
182,0063,0002,PETRON SINGAPORE TRADING PRIVATE LIMITED,C/O SOUTHWEST SHIPPING,,,---,,7,,,,,False,True,2026-05-05 09:00:04,2265,,
183,0034,0004,RAFFLES SHIPMANAGEMENT SERVICES PTE LTD,C/O WALLEM PHILIPPINES SHIPPING INC.,,,---,,7,,,,,False,True,2026-05-09 11:35:41.999000,2265,,
